Ngày,Giờ,Nhiệt độ,Độ ẩm,Khí áp,T.độ gió,H. gió
01/01/2014,01:00,22.2,89,1013.7,1.3,225
01/01/2014,02:00,21.8,90,1012.9,1,270
01/01/2014,03:00,22.8,80,1012.5,3.1,320
01/01/2014,04:00,22.7,80,1012.5,1.2,235
01/01/2014,05:00,22,84,1012.5,3.7,319
01/01/2014,06:00,21.6,85,1013.2,2.2,321
01/01/2014,07:00,21.5,83,1014,1.7,283
01/01/2014,08:00,21.8,83,1014.7,2.7,303
01/01/2014,09:00,22.7,80,1014.9,2.1,299
01/01/2014,10:00,24,75,1014.8,1.6,317
01/01/2014,11:00,25.8,73,1014.5,2.3,322
01/01/2014,12:00,26.7,70,1013.4,1.5,11
01/01/2014,13:00,27.4,70,1012.2,2.4,294
01/01/2014,14:00,28.6,64,1011.2,2.2,302
01/01/2014,15:00,29.3,62,1010.7,2.2,292
01/01/2014,16:00,28.9,67,1011,1.7,324
01/01/2014,17:00,27.9,73,1011.5,3,326
01/01/2014,18:00,26.6,79,1012.1,1.8,308
01/01/2014,19:00,26,82,1012.7,1.7,315
01/01/2014,20:00,25.8,83,1013.3,1.2,145
01/01/2014,21:00,25.6,83,1013.6,1.9,159
01/01/2014,22:00,25.1,85,1013.3,0.8,135
01/01/2014,23:00,24.8,91,1013.3,1.5,312
02/01/2014,00:00,24.6,91,1013.1,0.5,0
02/01/2014,01:00,24.2,91,1012.5,0,-
02/01/2014,02:00,23.5,95,1011.6,0.9,162
02/01/2014,03:00,23.1,96,1011.4,1.6,173
02/01/2014,04:00,23,97,1011.6,0.9,243
02/01/2014,05:00,22.7,97,1011.7,1.3,243
02/01/2014,06:00,22.7,98,1012,1.5,286
02/01/2014,07:00,22.4,93,1013.2,1.3,241
02/01/2014,08:00,23.3,86,1014.2,1.8,311
02/01/2014,09:00,24.6,80,1014.5,1.2,346
02/01/2014,10:00,25.6,78,1014.3,1.8,315
02/01/2014,11:00,26.6,76,1013.8,1.3,13
02/01/2014,12:00,27.2,76,1012.7,1.5,0
02/01/2014,13:00,28,73,1011.8,1.1,34
02/01/2014,14:00,28,73,1010.9,2,240
02/01/2014,15:00,27.9,75,1010.4,1.7,62
02/01/2014,16:00,28.4,74,1010.5,2.8,174
02/01/2014,17:00,27.6,78,1011.1,2.4,152
02/01/2014,18:00,26.7,80,1011.7,1.7,159
02/01/2014,19:00,25.7,83,1012.3,1.5,138
02/01/2014,20:00,24.9,82,1012.7,1.3,138
02/01/2014,21:00,24.3,84,1012.8,1.1,112
02/01/2014,22:00,23.9,86,1012.7,1.3,132
02/01/2014,23:00,23.6,89,1012.5,1.3,129
03/01/2014,00:00,23.3,91,1012.2,0,-
03/01/2014,01:00,23.1,94,1011.8,1.5,101
03/01/2014,02:00,22.8,94,1011.6,0.8,187
03/01/2014,03:00,22.3,97,1011.8,1.1,165
03/01/2014,04:00,22.2,97,1012.2,0.4,225
03/01/2014,05:00,22,99,1012.6,1.1,221
03/01/2014,06:00,22,99,1013.1,0.7,262
03/01/2014,07:00,22.4,100,1013.7,1.2,290
03/01/2014,08:00,23.6,97,1014.3,1.3,293
03/01/2014,09:00,24.6,92,1014.7,1.3,45
03/01/2014,10:00,26.3,82,1014.5,1.4,69
03/01/2014,11:00,27.7,72,1013.8,1.3,321
03/01/2014,12:00,28.7,68,1012.5,0.9,347
03/01/2014,13:00,29.7,65,1011.4,1.1,49
03/01/2014,14:00,30.3,62,1010.5,0.8,30
03/01/2014,15:00,30,63,1010,1.8,43
03/01/2014,16:00,29.5,68,1010,1.3,39
03/01/2014,17:00,28.6,76,1010.4,1.9,16
03/01/2014,18:00,27.5,84,1010.6,1.8,308
03/01/2014,19:00,26.8,83,1011,1.3,283
03/01/2014,20:00,26,87,1011.6,0.9,216
03/01/2014,21:00,25.5,88,1011.7,1,259
03/01/2014,22:00,25,91,1012,1.5,132
03/01/2014,23:00,24.8,94,1012.2,1.2,114
04/01/2014,00:00,24.4,94,1012.3,1.2,138
04/01/2014,01:00,24,96,1012,1.7,155
04/01/2014,02:00,23.8,97,1011.2,2,165
04/01/2014,03:00,24,98,1011,0.9,167
04/01/2014,04:00,24.1,98,1011,1.5,160
04/01/2014,05:00,24.2,97,1011.4,0,-
04/01/2014,06:00,24.2,97,1012,0.3,180
04/01/2014,07:00,24.4,96,1012.7,0.4,90
04/01/2014,08:00,25.3,93,1013.1,1.6,108
04/01/2014,09:00,26.7,83,1013.2,2.2,82
04/01/2014,10:00,27.6,78,1013.1,2.7,86
04/01/2014,11:00,28.2,75,1012.6,2.2,85
04/01/2014,12:00,28.8,71,1012,0.6,129
04/01/2014,13:00,29.1,70,1010.9,0.6,0
04/01/2014,14:00,30.1,66,1010.1,1.5,302
04/01/2014,15:00,28.8,75,1009.8,2.4,294
04/01/2014,16:00,29.1,72,1009.6,1.7,249
04/01/2014,17:00,27.6,81,1009.9,1.2,211
04/01/2014,18:00,26.9,85,1010.4,1.9,186
04/01/2014,19:00,26.3,87,1010.7,1.7,193
04/01/2014,20:00,25.6,89,1011.7,2.2,146
04/01/2014,21:00,25.1,90,1012.1,1.3,167
04/01/2014,22:00,24.7,94,1012.1,2.1,166
04/01/2014,23:00,24.8,93,1012.1,1.8,177
05/01/2014,00:00,24.6,93,1011.8,0.8,187
05/01/2014,01:00,24.5,94,1011.1,1.1,207
05/01/2014,02:00,24.4,95,1010.7,2.2,175
05/01/2014,03:00,24.3,92,1010.3,2.1,163
05/01/2014,04:00,24,93,1010.1,1.3,157
05/01/2014,05:00,23.9,92,1010.4,1.3,167
05/01/2014,06:00,23.8,92,1011,0.9,180
05/01/2014,07:00,23.9,92,1011.8,0.5,180
05/01/2014,08:00,24.4,90,1012.7,1.1,131
05/01/2014,09:00,25.5,84,1012.8,1.2,81
05/01/2014,10:00,27,80,1012.7,2.5,92
05/01/2014,11:00,27.8,76,1012,2.3,85
05/01/2014,12:00,28.6,71,1011.4,1.4,56
05/01/2014,13:00,29,72,1010.4,1.9,47
05/01/2014,14:00,29.6,67,1009.5,1.5,70
05/01/2014,15:00,29,73,1009.3,2.4,90
05/01/2014,16:00,28.9,71,1009.2,2.3,124
05/01/2014,17:00,28.9,71,1009.6,2.3,133
05/01/2014,18:00,27.5,76,1009.8,1.5,172
05/01/2014,19:00,26.2,82,1010.4,1.8,177
05/01/2014,20:00,25.5,82,1011.1,1.8,139
05/01/2014,21:00,24.7,85,1011.2,2.1,145
05/01/2014,22:00,24,88,1011,1.4,159
05/01/2014,23:00,23.4,91,1010.7,1.8,164
06/01/2014,00:00,23.1,92,1010.5,0.9,153
06/01/2014,01:00,23,91,1009.8,2,127
06/01/2014,02:00,23.1,89,1009.4,2.5,122
06/01/2014,03:00,23.1,89,1009.4,1.6,108
06/01/2014,04:00,22.7,91,1009.3,1.2,145
06/01/2014,05:00,22.4,92,1009.6,0.7,153
06/01/2014,06:00,22.1,93,1010.6,0.6,162
06/01/2014,07:00,22.3,96,1011,0.9,148
06/01/2014,08:00,23.4,92,1011.8,1.3,129
06/01/2014,09:00,24.9,86,1012.5,1.5,98
06/01/2014,10:00,26.4,77,1012.7,1.1,52
06/01/2014,11:00,27.1,77,1012.2,1.5,42
06/01/2014,12:00,27.7,74,1011.4,2.4,36
06/01/2014,13:00,28.4,71,1010.3,1.6,55
06/01/2014,14:00,29.1,69,1009.8,1.1,41
06/01/2014,15:00,28.5,75,1009.4,2.6,32
06/01/2014,16:00,27.9,78,1009.6,1.2,48
06/01/2014,17:00,27.9,74,1010,0.6,45
06/01/2014,18:00,26.9,80,1010.5,2.1,155
06/01/2014,19:00,25.4,84,1011.2,2,131
06/01/2014,20:00,24.7,82,1011.7,2.2,117
06/01/2014,21:00,24.3,83,1011.6,1.8,112
06/01/2014,22:00,24,84,1011.5,1.8,106
06/01/2014,23:00,23.6,87,1011.1,1.2,90
07/01/2014,00:00,23.4,91,1011,1.3,108
07/01/2014,01:00,23.1,92,1010.7,1,66
07/01/2014,02:00,23.1,90,1010.4,1.2,55
07/01/2014,03:00,23.1,92,1010.3,0.6,270
07/01/2014,04:00,22.2,95,1010.4,0.2,270
07/01/2014,05:00,22.5,96,1010.7,1.1,265
07/01/2014,06:00,22.5,97,1011.1,1.3,252
07/01/2014,07:00,22.2,97,1012,1,259
07/01/2014,08:00,23.5,95,1012.5,0.6,321
07/01/2014,09:00,25.2,84,1012.5,2.1,273
07/01/2014,10:00,26.8,71,1012.2,0.9,324
07/01/2014,11:00,28.6,68,1012.2,1,11
07/01/2014,12:00,29.5,64,1011.2,1.9,65
07/01/2014,13:00,30.3,59,1010.1,0.9,324
07/01/2014,14:00,30.9,60,1009.6,1.6,55
07/01/2014,15:00,30.5,62,1009.4,1.9,32
07/01/2014,16:00,30,65,1009.4,1.1,45
07/01/2014,17:00,29.1,71,1009.8,0.9,90
07/01/2014,18:00,27.9,69,1010.7,2.4,128
07/01/2014,19:00,26.6,78,1011.4,2.7,121
07/01/2014,20:00,26.1,78,1012.1,2.8,122
07/01/2014,21:00,25.7,79,1012.1,2.3,110
07/01/2014,22:00,25.3,80,1011.8,2.3,108
07/01/2014,23:00,25,83,1011.6,1.7,90
08/01/2014,00:00,24.9,85,1011.6,1.1,128
08/01/2014,01:00,24.7,86,1011.1,1.1,139
08/01/2014,02:00,24.6,87,1010.5,1.3,129
08/01/2014,03:00,24.3,88,1010.1,1.4,155
08/01/2014,04:00,24,90,1010.1,1.2,145
08/01/2014,05:00,24.2,90,1010.3,1.2,145
08/01/2014,06:00,24.2,91,1010.9,0.3,198
08/01/2014,07:00,24.2,90,1011.7,0.7,90
08/01/2014,08:00,24.9,89,1012.7,1.2,66
08/01/2014,09:00,25.6,87,1013.3,1.7,45
08/01/2014,10:00,26.8,78,1013.2,2,81
08/01/2014,11:00,27.8,74,1012.8,2.4,15
08/01/2014,12:00,28.4,69,1011.8,0.9,72
08/01/2014,13:00,29,69,1011,1,11
08/01/2014,14:00,28.9,66,1010.5,0.6,351
08/01/2014,15:00,29.2,62,1010,1,66
08/01/2014,16:00,29.1,63,1010,1.4,90
08/01/2014,17:00,28.9,63,1010.4,0.8,90
08/01/2014,18:00,28.3,68,1010.7,1,180
08/01/2014,19:00,27.3,81,1011.4,0.4,304
08/01/2014,20:00,26.5,83,1012,1.4,69
08/01/2014,21:00,26.1,84,1011.8,0.4,333
08/01/2014,22:00,25.4,90,1011.2,1.2,279
08/01/2014,23:00,25,90,1011.2,0.4,63
09/01/2014,00:00,24.9,92,1011,1.3,77
09/01/2014,01:00,24.9,92,1010.5,2.6,21
09/01/2014,02:00,25,87,1009.8,1.3,63
09/01/2014,03:00,24.5,88,1009.6,1.5,113
09/01/2014,04:00,24.3,90,1010,1.7,115
09/01/2014,05:00,24.3,92,1010.4,1.3,119
09/01/2014,06:00,24.5,94,1010.9,1,17
09/01/2014,07:00,24.5,96,1011.7,1.3,63
09/01/2014,08:00,24.8,95,1012.5,0.9,27
09/01/2014,09:00,25.5,91,1013.3,0.6,39
09/01/2014,10:00,27.1,82,1013.7,2.5,92
09/01/2014,11:00,28.1,76,1013.4,2.8,125
