Datetime,Nhiệt độ,Độ ẩm,Khí áp,T.độ gió,H. gió
2014-01-01 01:00:00,22.2,89,1013.7,1.3,225
2014-01-01 02:00:00,21.8,90,1012.9,1.0,270
2014-01-01 03:00:00,22.8,80,1012.5,3.1,320
2014-01-01 04:00:00,22.7,80,1012.5,1.2,235
2014-01-01 05:00:00,22.0,84,1012.5,3.7,319
2014-01-01 06:00:00,21.6,85,1013.2,2.2,321
2014-01-01 07:00:00,21.5,83,1014.0,1.7,283
2014-01-01 08:00:00,21.8,83,1014.7,2.7,303
2014-01-01 09:00:00,22.7,80,1014.9,2.1,299
2014-01-01 10:00:00,24.0,75,1014.8,1.6,317
2014-01-01 11:00:00,25.8,73,1014.5,2.3,322
2014-01-01 12:00:00,26.7,70,1013.4,1.5,11
2014-01-01 13:00:00,27.4,70,1012.2,2.4,294
2014-01-01 14:00:00,28.6,64,1011.2,2.2,302
2014-01-01 15:00:00,29.3,62,1010.7,2.2,292
2014-01-01 16:00:00,28.9,67,1011.0,1.7,324
2014-01-01 17:00:00,27.9,73,1011.5,3.0,326
2014-01-01 18:00:00,26.6,79,1012.1,1.8,308
2014-01-01 19:00:00,26.0,82,1012.7,1.7,315
2014-01-01 20:00:00,25.8,83,1013.3,1.2,145
2014-01-01 21:00:00,25.6,83,1013.6,1.9,159
2014-01-01 22:00:00,25.1,85,1013.3,0.8,135
2014-01-01 23:00:00,24.8,91,1013.3,1.5,312
2014-01-02 02:00:00,23.5,95,1011.6,0.9,162
2014-01-02 03:00:00,23.1,96,1011.4,1.6,173
2014-01-02 04:00:00,23.0,97,1011.6,0.9,243
2014-01-02 05:00:00,22.7,97,1011.7,1.3,243
2014-01-02 06:00:00,22.7,98,1012.0,1.5,286
2014-01-02 07:00:00,22.4,93,1013.2,1.3,241
2014-01-02 08:00:00,23.3,86,1014.2,1.8,311
2014-01-02 09:00:00,24.6,80,1014.5,1.2,346
2014-01-02 10:00:00,25.6,78,1014.3,1.8,315
2014-01-02 11:00:00,26.6,76,1013.8,1.3,13
2014-01-02 13:00:00,28.0,73,1011.8,1.1,34
2014-01-02 14:00:00,28.0,73,1010.9,2.0,240
2014-01-02 15:00:00,27.9,75,1010.4,1.7,62
2014-01-02 16:00:00,28.4,74,1010.5,2.8,174
2014-01-02 17:00:00,27.6,78,1011.1,2.4,152
2014-01-02 18:00:00,26.7,80,1011.7,1.7,159
2014-01-02 19:00:00,25.7,83,1012.3,1.5,138
2014-01-02 20:00:00,24.9,82,1012.7,1.3,138
2014-01-02 21:00:00,24.3,84,1012.8,1.1,112
2014-01-02 22:00:00,23.9,86,1012.7,1.3,132
2014-01-02 23:00:00,23.6,89,1012.5,1.3,129
2014-01-03 01:00:00,23.1,94,1011.8,1.5,101
2014-01-03 02:00:00,22.8,94,1011.6,0.8,187
2014-01-03 03:00:00,22.3,97,1011.8,1.1,165
2014-01-03 04:00:00,22.2,97,1012.2,0.4,225
2014-01-03 05:00:00,22.0,99,1012.6,1.1,221
2014-01-03 06:00:00,22.0,99,1013.1,0.7,262
2014-01-03 07:00:00,22.4,100,1013.7,1.2,290
2014-01-03 08:00:00,23.6,97,1014.3,1.3,293
2014-01-03 09:00:00,24.6,92,1014.7,1.3,45
2014-01-03 10:00:00,26.3,82,1014.5,1.4,69
2014-01-03 11:00:00,27.7,72,1013.8,1.3,321
2014-01-03 12:00:00,28.7,68,1012.5,0.9,347
2014-01-03 13:00:00,29.7,65,1011.4,1.1,49
2014-01-03 14:00:00,30.3,62,1010.5,0.8,30
2014-01-03 15:00:00,30.0,63,1010.0,1.8,43
2014-01-03 16:00:00,29.5,68,1010.0,1.3,39
2014-01-03 17:00:00,28.6,76,1010.4,1.9,16
2014-01-03 18:00:00,27.5,84,1010.6,1.8,308
2014-01-03 19:00:00,26.8,83,1011.0,1.3,283
2014-01-03 20:00:00,26.0,87,1011.6,0.9,216
2014-01-03 21:00:00,25.5,88,1011.7,1.0,259
2014-01-03 22:00:00,25.0,91,1012.0,1.5,132
2014-01-03 23:00:00,24.8,94,1012.2,1.2,114
2014-01-04 00:00:00,24.4,94,1012.3,1.2,138
2014-01-04 01:00:00,24.0,96,1012.0,1.7,155
2014-01-04 02:00:00,23.8,97,1011.2,2.0,165
2014-01-04 03:00:00,24.0,98,1011.0,0.9,167
2014-01-04 04:00:00,24.1,98,1011.0,1.5,160
2014-01-04 06:00:00,24.2,97,1012.0,0.3,180
2014-01-04 07:00:00,24.4,96,1012.7,0.4,90
2014-01-04 08:00:00,25.3,93,1013.1,1.6,108
2014-01-04 09:00:00,26.7,83,1013.2,2.2,82
2014-01-04 10:00:00,27.6,78,1013.1,2.7,86
2014-01-04 11:00:00,28.2,75,1012.6,2.2,85
2014-01-04 12:00:00,28.8,71,1012.0,0.6,129
2014-01-04 14:00:00,30.1,66,1010.1,1.5,302
2014-01-04 15:00:00,28.8,75,1009.8,2.4,294
2014-01-04 16:00:00,29.1,72,1009.6,1.7,249
2014-01-04 17:00:00,27.6,81,1009.9,1.2,211
2014-01-04 18:00:00,26.9,85,1010.4,1.9,186
2014-01-04 19:00:00,26.3,87,1010.7,1.7,193
2014-01-04 20:00:00,25.6,89,1011.7,2.2,146
2014-01-04 21:00:00,25.1,90,1012.1,1.3,167
2014-01-04 22:00:00,24.7,94,1012.1,2.1,166
2014-01-04 23:00:00,24.8,93,1012.1,1.8,177
2014-01-05 00:00:00,24.6,93,1011.8,0.8,187
2014-01-05 01:00:00,24.5,94,1011.1,1.1,207
2014-01-05 02:00:00,24.4,95,1010.7,2.2,175
2014-01-05 03:00:00,24.3,92,1010.3,2.1,163
2014-01-05 04:00:00,24.0,93,1010.1,1.3,157
2014-01-05 05:00:00,23.9,92,1010.4,1.3,167
